"cata_cata","cata_llave","llave_prim1","llave_prim2","descripcion","decimales","porcentaje","agrupaciones"
"c_Moneda","AED","","","Dirham de EAU",2,35,""
"c_Moneda","AFN","","","Afghani",2,35,""
"c_Moneda","ALL","","","Lek",2,35,""
"c_Moneda","AMD","","","Dram armenio",2,35,""
"c_Moneda","ANG","","","Flor�n antillano neerland�s",2,35,""
"c_Moneda","AOA","","","Kwanza",2,35,""
"c_Moneda","ARS","","","Peso Argentino",2,62,""
"c_Moneda","AUD","","","D�lar Australiano",2,43,""
"c_Moneda","AWG","","","Aruba Florin",2,35,""
"c_Moneda","AZN","","","Azerbaijanian Manat",2,35,""
"c_Moneda","BAM","","","Convertibles marca",2,35,""
"c_Moneda","BBD","","","D�lar de Barbados",2,35,""
"c_Moneda","BDT","","","Taka",2,35,""
"c_Moneda","BGN","","","Lev b�lgaro",2,35,""
"c_Moneda","BHD","","","Dinar de Bahrein",3,35,""
"c_Moneda","BIF","","","Burundi Franc",0,35,""
"c_Moneda","BMD","","","D�lar de Bermudas",2,35,""
"c_Moneda","BND","","","D�lar de Brunei",2,35,""
"c_Moneda","BOB","","","Boliviano",2,35,""
"c_Moneda","BOV","","","Mvdol",2,35,""
"c_Moneda","BRL","","","Real brasile�o",2,50,""
"c_Moneda","BSD","","","D�lar de las Bahamas",2,35,""
"c_Moneda","BTN","","","Ngultrum",2,35,""
"c_Moneda","BWP","","","Pula",2,35,""
"c_Moneda","BYR","","","Rublo bielorruso",0,35,""
"c_Moneda","BZD","","","D�lar de Belice",2,36,""
"c_Moneda","CAD","","","Dolar Canadiense",2,31,""
"c_Moneda","CDF","","","Franco congole�o",2,35,""
"c_Pais","ABW","","","Aruba",0,0,""
"c_Pais","AFG","","","Afganist�n",0,0,""
"c_Pais","AGO","","","Angola",0,0,""
"c_Pais","AIA","","","Anguila",0,0,""
"c_Pais","ALA","","","Islas �land",0,0,""
"c_Pais","ALB","","","Albania",0,0,""
"c_Pais","AND","","","Andorra",0,0,""
"c_Pais","ARE","","","Emiratos �rabes Unidos (Los)",0,0,""
"c_Pais","ARG","","","Argentina",0,0,""
"c_Pais","ARM","","","Armenia",0,0,""
"c_Pais","ASM","","","Samoa Americana",0,0,""
"c_Pais","ATA","","","Ant�rtida",0,0,""
"c_Pais","ATF","","","Territorios Australes Franceses (los)",0,0,""
"c_Pais","ATG","","","Antigua y Barbuda",0,0,""
"c_Pais","AUS","","","Australia",0,0,""
"c_Pais","AUT","","","Austria",0,0,"Uni�n Europea"
"c_Pais","AZE","","","Azerbaiy�n",0,0,""
"c_Pais","BDI","","","Burundi",0,0,""
"c_Pais","BEL","","","B�lgica",0,0,"Uni�n Europea"
"c_Pais","BEN","","","Ben�n",0,0,""
"c_Pais","BES","","","Bonaire, San Eustaquio y Saba",0,0,""
"c_Pais","BFA","","","Burkina Faso",0,0,""
"c_Pais","BGD","","","Banglad�s",0,0,""
"c_Pais","BGR","","","Bulgaria",0,0,"Uni�n Europea"
"c_Pais","BHR","","","Bar�in",0,0,""
"c_Pais","BHS","","","Bahamas (las)",0,0,""
"c_Pais","BIH","","","Bosnia y Herzegovina",0,0,""
"c_Pais","BLM","","","San Bartolom�",0,0,""
"c_Pais","BLR","","","Bielorrusia",0,0,""
"c_Pais","BLZ","","","Belice",0,0,""
"c_Pais","BMU","","","Bermudas",0,0,""
"c_Pais","BOL","","","Bolivia, Estado Plurinacional de",0,0,""
"c_Pais","BRA","","","Brasil",0,0,""
"c_Pais","BRB","","","Barbados",0,0,""
"c_Pais","BRN","","","Brun�i Darussalam",0,0,""
"c_Pais","BTN","","","But�n",0,0,""
"c_Pais","BVT","","","Isla Bouvet",0,0,""
"c_Pais","BWA","","","Botsuana",0,0,""
"c_Pais","CAF","","","Rep�blica Centroafricana (la)",0,0,""
"c_Pais","CAN","","","Canad�",0,0,"TLCAN"
"c_Pais","CCK","","","Islas Cocos (Keeling)",0,0,""
"c_Pais","CHE","","","Suiza",0,0,""
"c_Pais","CHL","","","Chile",0,0,""
"c_Pais","CHN","","","China",0,0,""
"c_Pais","CIV","","","C�te d'Ivoire",0,0,""
"c_Pais","CMR","","","Camer�n",0,0,""
"c_Pais","COD","","","Congo (la Rep�blica Democr�tica del)",0,0,""
"c_Pais","COG","","","Congo",0,0,""
"c_Pais","COK","","","Islas Cook (las)",0,0,""
"c_Pais","COL","","","Colombia",0,0,""
"c_Pais","COM","","","Comoras",0,0,""
"c_Pais","CPV","","","Cabo Verde",0,0,""
"c_Pais","CRI","","","Costa Rica",0,0,""
"c_Pais","CUB","","","Cuba",0,0,""
"c_Pais","CUW","","","Cura�ao",0,0,""
"c_Pais","CXR","","","Isla de Navidad",0,0,""
"c_Pais","CYM","","","Islas Caim�n (las)",0,0,""
"c_Pais","CYP","","","Chipre",0,0,"Uni�n Europea"
"c_Pais","CZE","","","Rep�blica Checa (la)",0,0,"Uni�n Europea"
"c_Pais","DEU","","","Alemania",0,0,"Uni�n Europea"
"c_Pais","DJI","","","Yibuti",0,0,""
"c_Pais","DMA","","","Dominica",0,0,""
